KMeans::predict,1733108617,10.7µs
KMeans::compute_inertia,1733108617,14.2µs
StandardScaler::fit_transform,1733108617,35.5732ms
RidgeRegression::fit,1733108617,59.4736ms
R2Score::compute,1733108617,206.8µs
MSE::compute,1733108617,105µs
PCA::fit_transform,1733108617,565.1295ms
KMeans::fit_predict,1733108618,5.2524401s
KMeans::fit_predict,1733108623,6.1250772s
KMeans::fit,1733108629,5.5998626s
KMeans::predict,1733108635,57.9806ms
KMeans::compute_inertia,1733108635,5.3201ms
StandardScaler::fit_transform,1733108635,37.5µs
RidgeRegression::fit,1733108635,126.4µs
R2Score::compute,1733108635,6.1µs
MSE::compute,1733108635,2.2µs
PCA::fit_transform,1733108635,714.1µs
KMeans::fit_predict,1733108635,6.5993ms
KMeans::fit_predict,1733108635,7.0508ms
KMeans::fit,1733108635,6.2242ms
KMeans::predict,1733108635,114.9µs
KMeans::compute_inertia,1733108635,53.8µs
StandardScaler::fit_transform,1733108635,62.3µs
RidgeRegression::fit,1733108635,315.7µs
R2Score::compute,1733108635,8.5µs
MSE::compute,1733108635,2.2µs
PCA::fit_transform,1733108635,1.5777ms
KMeans::fit_predict,1733108635,13.4431ms
KMeans::fit_predict,1733108635,14.7017ms
KMeans::fit,1733108635,14.0093ms
KMeans::predict,1733108635,383.7µs
KMeans::compute_inertia,1733108635,89.4µs
